국가별수출입 실적,,,,,,
,,,,,,
"통계기준:수리일,조회구분:201908 ~202007 ,국가:전체",,,,,,
,,,,,,"단위:천 불(USD 1,000)"
2019.08,키르기스스탄,"1,472","9,969",2,41,"9,928"
2019.08,탄자니아,383,"8,866",33,518,"8,348"
2019.08,파라과이,155,"8,441",12,446,"7,995"
2019.08,엘살바도르,156,"8,414",108,"2,409","6,005"
2019.08,수단,452,"8,207",10,"1,288","6,920"
2019.08,모잠비크,78,"8,078",11,"27,645","-19,567"
2019.08,세르비아,158,"7,477",120,"20,079","-12,602"
2019.08,조지아,562,"7,310",54,"1,953","5,357"
2019.08,이디오피아,140,"6,625",249,"5,991",634
2019.08,코트디봐르,127,"6,449",3,30,"6,420"
2019.08,에스토니아,246,"6,366",245,"4,234","2,131"
2019.08,괌,363,"6,334",40,287,"6,047"
2019.08,예맨,690,"6,118",68,"3,141","2,977"
2019.08,라오스,131,"5,909",671,"2,533","3,376"
2019.08,니카라과,178,"4,956",50,"1,156","3,800"
2019.08,아제르바이잔,183,"4,799",1,26,"4,773"
2019.08,지부티,75,"4,719",2,331,"4,388"
2019.08,트리니다드 토바고,98,"4,623",52,"21,701","-17,078"
2019.08,브루나이,161,"4,562",11,459,"4,103"
2019.08,세네갈,205,"4,557",82,"5,251",-693
2019.08,앙골라,136,"4,219",4,62,"4,158"
2019.08,모리셔스,144,"4,173",29,375,"3,798"
2019.08,네팔,177,"3,889",55,396,"3,493"
2019.08,기타국,40,"3,802",598,"131,555","-127,753"
2019.08,파푸아 뉴기니,56,"3,706",29,"55,854","-52,148"
2019.08,과델로프,11,"3,640",1,18,"3,622"
2019.08,라트비아,220,"3,288",291,"8,051","-4,762"
2019.08,볼리비아,140,"3,236",29,"48,516","-45,280"
2019.08,팔레스타인 해방기구,115,"3,194",1,6,"3,189"
2019.08,쿠바,39,"3,165",6,220,"2,946"
2019.08,사모아,14,"3,095",7,522,"2,572"
2019.08,자마이카,35,"3,044",8,211,"2,833"
2019.08,베닝,39,"3,037",4,582,"2,456"
2019.08,베라루스,144,"3,025",45,"3,806",-781
2019.08,마다카스카르,200,"3,015",61,"9,785","-6,770"
2019.08,키리바티,73,"2,838",11,413,"2,424"
2019.08,마카오,182,"2,758",93,240,"2,518"
2019.08,아이티,96,"2,712",13,100,"2,612"
2019.08,아프카니스탄,52,"2,540",3,1,"2,539"
2019.08,타지크,537,"2,373",1,0,"2,372"
2019.08,콩고,51,"2,336",7,573,"1,762"
2019.08,사이프러스,89,"2,316",43,645,"1,671"
2019.08,카메룬,92,"2,174",9,79,"2,094"
2019.08,마티니크,9,"2,105",1,23,"2,083"
2019.08,알바니아,43,"2,102",119,378,"1,724"
2019.08,기니,112,"2,020",53,"4,981","-2,961"
2019.08,불령 리유니온 코모도 제도,13,"2,019",1,0,"2,019"
2019.08,부르키나 파소,21,"1,728",0,0,"1,728"
2019.08,세이쉘,36,"1,614",16,"1,045",569
2019.08,룩셈부르그,92,"1,560",154,"5,501","-3,940"
2019.08,우간다,36,"1,472",23,168,"1,303"
2019.08,베네주엘라,33,"1,445",15,"1,042",403
2019.08,북마리아나 군도,151,"1,385",9,237,"1,148"
2019.08,소말리아,20,"1,382",6,946,436
2019.08,몰도바,84,"1,221",136,"1,648",-427
2019.08,바베이도스,15,"1,204",5,19,"1,185"
2019.08,아이슬란드,33,"1,190",50,"1,049",141
2019.08,리히텐슈타인,47,"1,137",38,"1,050",87
2019.08,도미니카,14,"1,116",3,3,"1,114"
2019.08,모리타니,28,"1,102",20,"3,343","-2,241"
2019.08,아루바,26,"1,077",0,0,"1,077"
2019.08,바하마,42,"1,041",10,2,"1,040"
2019.08,가이아나,32,"1,031",3,65,966
2019.08,잠비아,48,"1,016",9,"4,215","-3,199"
2019.08,루안다,22,"1,012",18,312,700
2019.08,뉴 칼레도니아,86,"1,006",17,"17,403","-16,397"
2019.08,마이크로네시아,46,984,6,429,555
2019.08,콩고민주공화국,22,942,38,"37,285","-36,343"
2019.08,불령 폴리네시아,51,927,6,151,776
2019.08,아르메니아,92,891,60,"1,736",-845
2019.08,수리남,19,787,9,453,334
2019.08,안티가 바부다,10,707,1,0,707
2019.08,가봉,53,685,5,97,588
2019.08,세인트 마틴,8,650,0,0,650
2019.08,나미비아,38,609,14,"12,535","-11,926"
2019.08,바누아투,48,575,14,923,-348
2019.08,말라위,20,521,17,224,297
2019.08,보츠와나,25,488,6,43,446
2019.08,보스니아-헤르체고비나,30,480,113,"1,571","-1,091"
2019.08,몰디브,57,467,1,0,467
2019.08,솔로몬 군도,21,457,4,278,178
2019.08,버뮤다,7,446,1,1,446
2019.08,팔라우,26,349,1,19,330
2019.08,짐바브웨,18,343,4,275,67
2019.08,마세도니아,38,341,31,210,131
2019.08,불령 가이아나,14,332,0,0,332
2019.08,말리,23,325,1,2,324
2019.08,나우르,14,298,1,9,289
2019.08,아메리칸 사모아,11,297,3,93,204
2019.08,세인트 루시아,13,250,0,0,250
2019.08,영령 캐이맨 군도,6,246,3,13,234
2019.08,라이베리아,35,237,49,58,179
2019.08,부탄,29,206,2,0,206
2019.08,감비아,50,175,12,"1,218","-1,043"
2019.08,벨리제,8,168,2,96,72
2019.08,티모르,3,163,2,0,162
2019.08,투르크멘,11,155,1,2,154
2019.08,큐라소,7,135,0,0,135
2019.08,그레나다,7,125,0,0,125
2019.08,몬테네그로,6,122,2,2,120
2019.08,지브랄타,6,121,0,0,121
2019.08,스와질랜드,18,113,14,"2,429","-2,316"
2019.08,메요트,2,101,0,0,101
2019.08,에리트리아,4,99,1,"7,832","-7,733"
2019.08,세인트 키츠 네비스,2,96,2,0,96
2019.08,시에라 리온,10,93,15,"1,427","-1,334"
2019.08,네덜란드 열도,12,93,1,0,93
2019.08,카보 베르데,3,90,0,0,90
2019.08,투발루,5,80,0,0,80
2019.08,챠드,6,72,1,0,72
2019.08,세인트 빈센트 그레나딘,2,53,0,0,53
2019.08,영령 버진군도,2,44,0,0,44
2019.08,코모로스,6,30,1,112,-83
2019.08,중앙아프리카공화국,2,27,1,62,-35
2019.08,니제르,7,24,5,"2,379","-2,355"
2019.08,왈라스 & 퓨투나 군도,4,20,0,0,20
2019.08,부룬디,4,16,3,11,5
2019.08,기네비소,2,16,3,176,-160
2019.08,미령 버진군도,6,14,4,11,2
2019.08,앙귈라,4,10,1,0,10
2019.08,통가,2,9,1,20,-11
2019.08,모나코,5,8,6,21,-13
2019.08,투르크 & 카이코스 군도,4,8,0,0,8
2019.08,세인트 바르탤르미,2,2,0,0,2
2019.08,적도 기니,1,1,3,"32,375","-32,374"
2019.08,상토메 프린스페,1,1,1,1,0
2019.08,저어지,1,0,1,0,0
2019.08,몬트세라트,0,0,2,3,-3
2019.08,노폴크 아일랜드,0,0,1,7,-7
2019.08,니우에,0,0,1,4,-4
2019.08,세인트마틴(생마르탱),1,0,0,0,0
2019.08,토켈라우,0,0,1,19,-19
2019.08,마이너 아우틀링 합중국 군도,0,0,1,0,0
2019.08,교황청,0,0,1,1,-1
2019.08,남조지아 & 남샌드위치 군도,0,0,0,4,-4
2019.08,그린랜드,2,0,3,145,-145
2019.08,산마리노,0,0,8,152,-152
2019.08,세인트 헬레나,0,0,2,"2,276","-2,276"
2019.08,쿡 아일랜드,0,0,1,59,-59
2019.08,코스 군도,0,0,1,0,0
2019.08,안도라,1,0,14,15,-15
2019.08,레소토,0,0,1,1,-1
2019.08,맨섬,0,0,1,0,0
2019.09,중국,"215,205","11,362,386","301,974","8,197,068","3,165,318"
2019.09,미국,"84,751","5,690,676","1,056,190","4,758,785","931,891"
2019.09,베트남,"51,990","4,229,158","34,777","2,185,354","2,043,804"
2019.09,홍콩,"23,579","2,825,992","19,423","125,629","2,700,363"
2019.09,일본,"110,247","2,310,566","118,626","3,822,451","-1,511,885"
2019.09,대만,"24,304","1,322,317","23,300","1,341,141","-18,824"
2019.09,인도,"17,953","1,149,114","8,684","458,360","690,754"
2019.09,싱가포르,"25,279","925,188","10,908","543,508","381,680"
2019.09,멕시코,"12,195","886,426","6,284","519,903","366,522"
2019.09,말레이시아,"13,640","744,023","10,614","761,826","-17,803"
2019.09,독일,"12,121","699,791","178,325","1,562,558","-862,767"
2019.09,러시아 연방,"9,313","680,767","1,865","998,326","-317,559"
2019.09,태국,"14,692","662,282","12,088","404,788","257,494"
2019.09,필리핀,"9,201","646,316","6,793","257,691","388,624"
2019.09,인도네시아,"19,202","597,691","7,123","700,857","-103,166"
2019.09,호주,"9,907","592,563","48,247","1,443,034","-850,471"
2019.09,폴란드,"6,425","449,676","2,547","56,748","392,928"
2019.09,터키,"5,478","438,605","3,239","77,369","361,236"
2019.09,마샬군도,37,"417,544",23,27,"417,516"
2019.09,캐나다,"8,553","375,182","15,827","409,969","-34,788"
2019.09,브라질,"7,310","365,310","1,876","338,499","26,811"
2019.09,영국,"7,739","359,590","30,175","252,207","107,383"
2019.09,사우디아라비아,"2,746","321,590",581,"1,511,360","-1,189,770"
2019.09,바하마,40,"319,409",10,52,"319,357"
2019.09,네덜란드,"7,360","307,347","10,029","174,057","133,290"
2019.09,프랑스,"5,063","299,923","16,674","465,689","-165,767"
2019.09,아랍에미리트 연합,"5,615","263,563",435,"490,336","-226,774"
2019.09,카자흐스탄,"1,246","262,069",63,"177,935","84,133"
2019.09,이탈리아,"4,979","258,677","64,781","523,666","-264,990"
2019.09,스페인,"4,099","225,821","6,243","136,773","89,047"
2019.09,그리스,810,"214,054",374,"7,894","206,160"
2019.09,우즈베크,"1,666","211,953",86,"1,344","210,610"
2019.09,벨기에,"1,847","208,201","2,251","107,980","100,221"
2019.09,몰타,276,"203,881",131,"5,184","198,698"
2019.09,헝가리,"1,749","200,601","1,393","41,563","159,038"
2019.09,체코공화국,"2,339","186,008","3,703","67,854","118,154"
2019.09,슬로바키아,"1,383","170,386",955,"27,723","142,663"
2019.09,토고,73,"169,134",52,"6,077","163,057"
2019.09,이라크,958,"160,770",37,"405,807","-245,037"
2019.09,콜롬비아,"1,335","148,654",543,"44,307","104,347"
2019.09,노르웨이,659,"146,589","2,323","82,793","63,796"
2019.09,슬로베니아,585,"140,754",367,"10,371","130,383"
2019.09,방글라데시,"2,456","140,567","1,018","39,246","101,321"
2019.09,이스라엘,"2,244","117,367","1,506","84,450","32,917"
2019.09,파나마,872,"107,886",109,"14,513","93,374"
2019.09,뉴질랜드,"2,149","102,181","41,354","77,648","24,533"
2019.09,스웨덴,"1,335","94,904","3,505","104,607","-9,703"
2019.09,쿠웨이트,711,"89,558",61,"1,012,957","-923,399"
2019.09,오스트리아,"2,377","87,712","5,135","138,426","-50,713"
2019.09,이집트,"2,790","85,767",321,"81,672","4,095"
2019.09,칠레,"2,223","81,548","1,101","279,227","-197,678"
2019.09,에쿠아도르,533,"74,197",266,"8,991","65,206"
2019.09,남아프리카공화국,"2,117","73,167","2,237","232,493","-159,325"
2019.09,아일랜드,611,"70,565","1,402","84,263","-13,698"
2019.09,페루,"1,225","60,235",579,"123,533","-63,298"
2019.09,파키스탄,"1,513","58,617",586,"19,534","39,083"
2019.09,스위스,"1,052","54,798","4,142","241,220","-186,422"
2019.09,캄보디아,"2,893","54,079",682,"28,799","25,281"
2019.09,오만,996,"53,534",81,"194,867","-141,333"
2019.09,나이지리아,888,"46,618",100,"132,652","-86,034"
2019.09,루마니아,"1,004","46,467","3,247","39,195","7,272"
2019.09,미얀마,"1,253","46,107","1,003","75,487","-29,381"
2019.09,리비아,"8,906","46,078",8,"1,753","44,325"
2019.09,포루투갈,929,"45,421","5,085","21,417","24,004"
2019.09,요르단,"1,675","43,586",71,"5,652","37,934"
2019.09,덴마크,"1,170","36,148","2,523","63,489","-27,341"
2019.09,몽골,"1,981","32,647",444,"4,242","28,406"
2019.09,우크라이나,"2,517","30,954",312,"23,892","7,062"
2019.09,카타르,658,"29,668",181,"1,007,386","-977,718"
2019.09,리투아니아,356,"28,829",686,"6,951","21,878"
2019.09,알제리,217,"28,706",13,"194,052","-165,346"
2019.09,핀란드,742,"28,293","1,304","95,608","-67,315"
2019.09,푸에르토리코,156,"27,007",97,"20,476","6,531"
2019.09,아르헨티나,745,"23,178",357,"84,474","-61,296"
2019.09,도미니카 공화국,479,"22,100",111,"5,170","16,930"
2019.09,바레인,310,"21,863",82,"38,070","-16,207"
2019.09,튀니지,176,"20,937",666,"3,380","17,557"
2019.09,과테말라,"1,073","20,636",345,"6,347","14,288"
2019.09,이란,311,"20,560",34,394,"20,166"
2019.09,스리랑카,"1,046","19,790",425,"7,114","12,675"
2019.09,모로코,341,"18,877",685,"12,285","6,593"
2019.09,레바논,320,"15,724",50,"1,136","14,588"
2019.09,수단,419,"13,770",9,"1,099","12,671"
2019.09,엘살바도르,163,"13,428",116,"2,162","11,266"
2019.09,탄자니아,432,"13,194",31,554,"12,640"
2019.09,케냐,282,"12,641",94,"2,923","9,718"
2019.09,가나,"1,863","12,474",32,"3,489","8,985"
2019.09,불가리아,387,"11,653","1,325","14,151","-2,499"
2019.09,온두라스,304,"10,369",117,"3,828","6,541"
2019.09,코스타리카,293,"10,232",318,"8,483","1,749"
2019.09,라이베리아,56,"10,130",63,169,"9,961"
2019.09,우루과이,176,"9,865",31,"4,261","5,604"
2019.09,키르기스스탄,"1,783","9,641",2,3,"9,638"
2019.09,모리셔스,166,"9,412",39,250,"9,162"
2019.09,세르비아,160,"9,179",118,"16,574","-7,395"
2019.09,트리니다드 토바고,88,"8,381",36,"14,253","-5,871"
2019.09,예맨,"1,145","8,371",69,"3,803","4,569"
2019.09,조지아,651,"8,325",53,677,"7,647"
2019.09,크로아티아,203,"8,317",175,"4,023","4,294"
2019.09,모잠비크,72,"6,893",12,"25,622","-18,728"
2019.09,파라과이,133,"6,884",4,125,"6,759"
2019.09,라오스,132,"6,607",72,"2,091","4,515"
2019.09,에스토니아,244,"6,475",257,"4,838","1,637"
2019.09,사이프러스,109,"5,950",40,547,"5,403"
2019.09,괌,322,"5,753",35,291,"5,462"
2019.09,이디오피아,118,"5,715",224,"5,484",231
2019.09,팔레스타인 해방기구,109,"5,577",1,47,"5,530"
2019.09,브루나이,94,"5,502",15,"77,319","-71,817"
2019.09,시리아,542,"5,351",3,5,"5,346"
2019.09,기타국,50,"5,056",464,"174,572","-169,516"
2019.09,라트비아,221,"4,881",241,"7,807","-2,926"
2019.09,니카라과,175,"4,761",65,"1,409","3,352"
2019.09,아이티,122,"4,332",18,62,"4,270"
2019.09,코트디봐르,87,"4,269",9,144,"4,125"
2019.09,세네갈,204,"4,131",84,"4,489",-358
2019.09,네팔,149,"3,936",73,385,"3,551"
2019.09,파푸아 뉴기니,61,"3,886",41,"69,109","-65,223"
2019.09,아프카니스탄,97,"3,673",5,12,"3,661"
2019.09,앙골라,113,"3,549",18,"1,608","1,940"
2019.09,자마이카,66,"3,546",14,361,"3,185"
2019.09,기니,104,"3,422",25,"1,860","1,562"
2019.09,베라루스,193,"3,362",39,628,"2,734"
2019.09,지부티,59,"3,345",0,0,"3,345"
2019.09,아제르바이잔,216,"3,201",5,675,"2,525"
2019.09,베닝,27,"3,106",1,13,"3,093"
2019.09,마카오,198,"2,888",154,329,"2,559"
2019.09,불령 리유니온 코모도 제도,25,"2,710",1,42,"2,668"
2019.09,콩고민주공화국,31,"2,522",38,"27,456","-24,934"
2019.09,쿠바,39,"2,495",2,259,"2,236"
2019.09,피지,63,"2,475",30,145,"2,330"
2019.09,뉴 칼레도니아,87,"2,358",16,"22,975","-20,617"
2019.09,베네주엘라,48,"2,348",28,"1,815",533
2019.09,사모아,27,"2,292",5,451,"1,841"
2019.09,마다카스카르,238,"2,102",75,"10,918","-8,817"
2019.09,타지크,402,"1,915",0,0,"1,915"
2019.09,카메룬,137,"1,854",14,93,"1,761"
2019.09,소말리아,25,"1,798",2,1,"1,797"
2019.09,볼리비아,88,"1,722",32,"33,058","-31,336"
2019.09,부르키나 파소,19,"1,682",3,"1,103",579
2019.09,수리남,40,"1,649",9,352,"1,297"
2019.09,알바니아,70,"1,463",171,318,"1,145"
2019.09,세인트 마틴,11,"1,359",0,0,"1,359"
2019.09,가이아나,30,"1,322",3,68,"1,254"
2019.09,바베이도스,22,"1,320",8,72,"1,248"
2019.09,불령 폴리네시아,57,"1,310",2,97,"1,213"
2019.09,몰도바,91,"1,281",495,"1,987",-706
2019.09,마티니크,13,"1,204",1,7,"1,197"
2019.09,북마리아나 군도,133,"1,202",7,285,917
2019.09,콩고,35,"1,200",8,392,808
2019.09,룩셈부르그,79,"1,190",169,"7,248","-6,058"
2019.09,불령 가이아나,13,"1,138",2,30,"1,107"
2019.09,잠비아,47,"1,053",5,"1,800",-746
2019.09,과델로프,6,"1,025",1,24,"1,001"
2019.09,영령 캐이맨 군도,9,"1,010",2,1,"1,009"
2019.09,가봉,56,958,1,45,913
2019.09,세이쉘,34,944,9,484,460
2019.09,아루바,27,936,1,1,936
2019.09,리히텐슈타인,32,834,27,515,319
2019.09,버뮤다,12,799,0,0,799
2019.09,몰디브,59,795,2,1,794
2019.09,모리타니,25,789,14,"1,758",-969
2019.09,큐라소,16,760,0,0,760
2019.09,키리바티,8,752,9,"4,975","-4,224"
2019.09,아이슬란드,36,711,37,771,-60
2019.09,우간다,45,702,18,577,125
2019.09,아르메니아,100,674,96,"1,467",-793
2019.09,말리,24,656,6,"1,428",-772
2019.09,투르크멘,19,612,0,0,612
2019.09,마세도니아,28,583,22,252,331
2019.09,짐바브웨,27,561,10,224,337
2019.09,나미비아,29,454,13,"15,463","-15,009"
2019.09,시에라 리온,14,429,9,703,-274
2019.09,팔라우,19,387,2,24,363
2019.09,마이크로네시아,49,385,1,47,338
2019.09,세인트 바르탤르미,2,385,0,0,385
2019.09,루안다,29,374,9,92,282
2019.09,보츠와나,20,372,3,14,359
2019.09,지브랄타,21,321,0,0,321
2019.09,솔로몬 군도,18,313,5,926,-613
2019.09,스와질랜드,14,307,8,154,154
2019.09,세인트 루시아,12,284,0,0,284
2019.09,세인트 빈센트 그레나딘,4,241,1,6,235
2019.09,벨리제,11,214,2,3,211
2019.09,바누아투,29,209,11,"1,090",-881
2019.09,말라위,15,201,11,76,125
2019.09,그레나다,8,196,0,0,196
2019.09,보스니아-헤르체고비나,21,178,193,"2,928","-2,750"
2019.09,아메리칸 사모아,9,161,4,221,-60
2019.09,카보 베르데,4,156,1,6,150
2019.09,안티가 바부다,13,156,8,"4,072","-3,916"
2019.09,도미니카,11,154,1,1,153
2019.09,몬테네그로,12,150,4,59,91
2019.09,부탄,30,143,0,0,143
2019.09,메요트,2,122,0,0,122
2019.09,세인트 키츠 네비스,3,121,0,0,121
2019.09,감비아,41,120,5,333,-213
2019.09,중앙아프리카공화국,1,89,1,31,57
2019.09,챠드,12,73,4,1,72
2019.09,티모르,6,66,4,73,-7
2019.09,적도 기니,15,64,2,880,-816
2019.09,네덜란드 열도,5,47,1,1,46
2019.09,에리트리아,2,44,1,"7,403","-7,359"
2019.09,니제르,1,37,0,0,37
2019.09,투르크 & 카이코스 군도,2,36,1,0,36
2019.09,통가,1,24,2,134,-111
2019.09,토켈라우,1,24,1,19,5
2019.09,기네비소,1,24,1,55,-31
2019.09,코모로스,6,21,1,0,21
2019.09,왈라스 & 퓨투나 군도,2,15,0,0,15
2019.09,부룬디,2,12,18,1,11
2019.09,미령 버진군도,8,10,1,5,5
2019.09,상토메 프린스페,1,9,0,0,9
2019.09,앙귈라,1,5,0,0,5
2019.09,안타티카,1,3,3,1,2
2019.09,영령 버진군도,4,3,0,0,3
2019.09,모나코,1,1,2,226,-226
2019.09,안도라,1,1,12,5,-4
2019.09,나우르,0,0,1,0,0
2019.09,교황청,0,0,0,0,0
2019.09,레소토,0,0,1,13,-13
2019.09,저어지,0,0,3,1,-1
2019.09,맨섬,0,0,3,1,-1
2019.09,산마리노,0,0,4,325,-325
2019.09,피트카이른,0,0,2,3,-3
2019.09,코스 군도,0,0,0,1,-1
2019.09,그린랜드,2,0,0,0,0
2019.09,건지,0,0,2,0,0
2019.09,마이너 아우틀링 합중국 군도,0,0,1,0,0
2019.09,파로에 군도,1,0,1,3,-3
2019.09,쿡 아일랜드,0,0,2,113,-113
2019.09,몬트세라트,0,0,1,2,-2
2019.10,중국,"230,736","12,243,754","330,884","9,215,893","3,027,860"
2019.10,미국,"93,621","6,357,758","1,135,355","4,963,127","1,394,632"
2019.10,베트남,"59,558","4,209,045","37,524","1,997,409","2,211,636"
2019.10,홍콩,"25,744","2,478,884","25,321","120,952","2,357,932"
2019.10,일본,"145,804","2,372,581","130,743","3,816,086","-1,443,505"
2019.10,대만,"27,252","1,602,219","24,354","1,332,577","269,642"
2019.10,인도,"18,182","1,155,432","9,300","463,397","692,036"
2019.10,싱가포르,"30,705","962,190","12,140","595,770","366,420"
2019.10,멕시코,"12,934","911,523","6,711","544,519","367,005"
2019.10,말레이시아,"14,971","773,673","11,456","872,728","-99,055"
2019.10,독일,"13,516","769,706","205,516","1,828,088","-1,058,382"
2019.10,호주,"11,015","709,472","50,624","1,793,847","-1,084,376"
2019.10,인도네시아,"21,722","678,570","7,569","689,177","-10,607"
2019.10,태국,"15,192","642,156","12,035","453,105","189,051"
2019.10,러시아 연방,"10,852","635,309","2,100","1,461,677","-826,368"
2019.10,필리핀,"10,203","612,362","7,237","303,354","309,008"
2019.10,폴란드,"7,006","533,392","2,701","73,346","460,046"
2019.10,터키,"5,947","484,139","3,457","78,223","405,916"
2019.10,캐나다,"10,204","468,325","16,063","499,270","-30,945"
2019.10,마샬군도,31,"420,344",35,30,"420,314"
2019.10,브라질,"8,211","380,897","1,984","468,308","-87,411"
2019.10,영국,"8,962","372,159","32,686","299,211","72,948"
2019.10,사우디아라비아,"3,244","365,036",637,"1,570,485","-1,205,449"
2019.10,바하마,32,"318,373",6,4,"318,369"
